trip_month,cohort_month,trip_year,trip_month_num,pickup_location_id,total_trips,avg_fare,total_revenue,avg_tip
2022-01-01,2022-01-01,2022,1,249,54596,10.44,898062.05,2.3
2022-01-01,2022-01-01,2022,1,233,29800,10.61,493424.23,2.08
2022-01-01,2022-01-01,2022,1,219,167,56.66,11034.82,4.47
2022-01-01,2022-01-01,2022,1,166,12503,11.75,203296.98,2.06
2022-01-01,2022-01-01,2022,1,12,633,16.59,14305.43,2.39
2022-01-01,2022-01-01,2022,1,189,186,18.09,4314.37,3.29
2022-01-01,2022-01-01,2022,1,25,730,18.14,16466.68,2.31
2022-01-01,2022-01-01,2022,1,45,2528,14.49,51869.01,2.32
2022-01-01,2022-01-01,2022,1,13,9809,15.67,219885.32,2.92
2022-01-01,2022-01-01,2022,1,82,256,21.98,6813.93,1.69
2022-01-01,2022-01-01,2022,1,7,1641,14.11,28775.33,1.47
2022-01-01,2022-01-01,2022,1,157,102,28.26,3875.98,5.19
2022-01-01,2022-01-01,2022,1,195,55,25.57,1749.59,2.49
2022-01-01,2022-01-01,2022,1,197,130,39.96,5989.73,2.5
2022-01-01,2022-01-01,2022,1,89,198,26.23,5842.27,1.26
2022-01-01,2022-01-01,2022,1,228,133,28.12,4605.16,3.38
2022-01-01,2022-01-01,2022,1,6,4,58.13,289.44,5.47
2022-01-01,2022-01-01,2022,1,171,21,31.03,715.35,0.25
2022-01-01,2022-01-01,2022,1,53,33,33.09,1315.98,2.09
2022-01-01,2022-01-01,2022,1,44,21,70.7,1663.33,0.13
2022-01-01,2022-01-01,2022,1,220,77,25.21,2252.09,1.49
2022-01-01,2022-01-01,2022,1,202,44,18.56,1024.62,2.51
2022-01-01,2022-01-01,2022,1,96,6,47.67,316.42,3.85
2022-01-01,2022-01-01,2022,1,190,49,19.69,1202.17,2.77
2022-01-01,2022-01-01,2022,1,131,45,28.55,1386.17,0.54
2022-01-01,2022-01-01,2022,1,56,64,35.51,2904.19,4.71
2022-01-01,2022-01-01,2022,1,20,26,31.18,910.27,0.58
2022-01-01,2022-01-01,2022,1,106,94,20.98,2522.2,3.16
2022-01-01,2022-01-01,2022,1,213,120,32.7,4340.96,0.21
2022-01-01,2022-01-01,2022,1,178,13,27.98,447.65,1.56
2022-01-01,2022-01-01,2022,1,51,126,36.09,4994.99,0.36
2022-01-01,2022-01-01,2022,1,227,31,28.31,966.6,1.34
2022-01-01,2022-01-01,2022,1,128,10,32.81,356.07,0.49
2022-01-01,2022-01-01,2022,1,212,44,29.2,1403.83,0.09
2022-01-01,2022-01-01,2022,1,258,26,27.5,812.94,0.28
2022-01-01,2022-01-01,2022,1,115,3,59.62,223.01,10
2022-01-01,2022-01-01,2022,1,47,61,24.64,1639.71,0.19
2022-01-01,2022-01-01,2022,1,8,11,51.45,741.68,5.87
2022-01-01,2022-01-01,2022,1,132,100034,45.71,5895857.38,6.69
2022-01-01,2022-01-01,2022,1,148,21182,12.17,387627.86,2.39
2022-01-01,2022-01-01,2022,1,125,10633,11.48,186724.35,2.34
2022-01-01,2022-01-01,2022,1,186,79574,10.98,1340917.17,2.13
2022-01-01,2022-01-01,2022,1,237,120435,8.95,1744964.22,1.91
2022-01-01,2022-01-01,2022,1,234,63470,9.96,1003551.91,2.11
2022-01-01,2022-01-01,2022,1,209,3004,14.95,63993.44,2.62
2022-01-01,2022-01-01,2022,1,87,9547,15.91,216515.99,2.93
2022-01-01,2022-01-01,2022,1,90,43022,9.86,673796.43,2.07
2022-01-01,2022-01-01,2022,1,261,8673,15.72,192527.04,2.64
2022-01-01,2022-01-01,2022,1,97,673,17.36,14571.95,2.17
2022-01-01,2022-01-01,2022,1,144,19045,11.66,336252.41,2.29
2022-01-01,2022-01-01,2022,1,80,377,21.74,10737.74,3.77
2022-01-01,2022-01-01,2022,1,112,340,18.01,8292.25,3.29
2022-01-01,2022-01-01,2022,1,1,45,64.01,3463.98,7.11
2022-01-01,2022-01-01,2022,1,260,492,19.94,12438.42,2.25
2022-01-01,2022-01-01,2022,1,192,17,30.88,604.66,3.21
2022-01-01,2022-01-01,2022,1,215,161,48.96,9920.61,5.87
2022-01-01,2022-01-01,2022,1,54,35,18.37,847.61,3.33
2022-01-01,2022-01-01,2022,1,150,13,44.65,658.64,2.55
2022-01-01,2022-01-01,2022,1,207,31,28.95,1137.13,3.98
2022-01-01,2022-01-01,2022,1,120,10,50.9,591.68,4.01
2022-01-01,2022-01-01,2022,1,242,103,27.32,3083.63,0.23
2022-01-01,2022-01-01,2022,1,154,7,55.43,428.23,1.71
2022-01-01,2022-01-01,2022,1,61,351,23.54,9392.33,1.77
2022-01-01,2022-01-01,2022,1,31,7,25.95,212.77,2.79
2022-01-01,2022-01-01,2022,1,15,10,48.94,558.94,2.79
2022-01-01,2022-01-01,2022,1,222,66,33.83,2357.17,0.08
2022-01-01,2022-01-01,2022,1,253,2,46.5,120.45,5.13
2022-01-01,2022-01-01,2022,1,198,72,27.15,2272.85,1.87
2022-01-01,2022-01-01,2022,1,119,138,27.95,4205.56,0.43
2022-01-01,2022-01-01,2022,1,185,49,27.44,1618.17,1.09
2022-01-01,2022-01-01,2022,1,32,30,32.19,1091.04,1.45
2022-01-01,2022-01-01,2022,1,5,29,92.94,2966.3,0
2022-01-01,2022-01-01,2022,1,57,4,21.6,90.1,0
2022-01-01,2022-01-01,2022,1,46,4,37.45,159.55,0
2022-01-01,2022-01-01,2022,1,2,2,52,144.07,10.19
2022-01-01,2022-01-01,2022,1,105,1,13.5,16.8,0
